,enrollee_id,city,city_development_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
26,9548,city_114,0.926,Male,Has relevant experience,No enrollment,Masters,STEM,21,50-99,Pvt Ltd,5,65,1.0
27,8799,city_103,0.92,Male,No relevant experience,Full time course,Graduate,STEM,6,Unknown,Public Sector,1,46,0.0
28,11113,city_134,0.698,Unknown,Has relevant experience,No enrollment,Masters,STEM,16,Unknown,Pvt Ltd,1,78,1.0
30,394,city_73,0.754,Unknown,Has relevant experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,1,29,0.0
31,7683,city_103,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,5,Unknown,Unknown,1,10,0.0
33,17189,city_21,0.624,Male,Has relevant experience,No enrollment,Graduate,STEM,7,10000+,Pvt Ltd,4,43,0.0
34,28610,city_16,0.91,Male,Has relevant experience,No enrollment,Masters,STEM,21,50-99,Pvt Ltd,5,18,0.0
35,25608,city_165,0.903,Unknown,Has relevant experience,No enrollment,Masters,STEM,17,50-99,Pvt Ltd,5,8,0.0
36,22139,city_103,0.92,Male,Has relevant experience,Part time course,Graduate,STEM,21,100-500,Pvt Ltd,5,8,0.0
37,19644,city_61,0.913,Male,Has relevant experience,No enrollment,Graduate,STEM,21,10000+,Pvt Ltd,5,145,1.0
38,18517,city_21,0.624,Unknown,No relevant experience,Full time course,Masters,STEM,0,10-49,Pvt Ltd,1,22,0.0
39,12835,city_136,0.897,Male,Has relevant experience,No enrollment,Masters,STEM,21,0-10,Early Stage Startup,1,9,0.0
40,20178,city_45,0.89,Male,Has relevant experience,No enrollment,Masters,STEM,13,Unknown,Public Sector,1,20,0.0
41,25855,city_103,0.92,Female,Has relevant experience,No enrollment,Graduate,Arts,4,50-99,Pvt Ltd,1,20,0.0
42,32126,city_160,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,16,100-500,Pvt Ltd,4,130,1.0
43,22753,city_104,0.924,Male,Has relevant experience,No enrollment,Graduate,STEM,21,50-99,Pvt Ltd,2,3,0.0
44,18133,city_103,0.92,Male,No relevant experience,No enrollment,Graduate,STEM,1,Unknown,Unknown,1,23,1.0
45,29242,city_21,0.624,Male,Has relevant experience,No enrollment,Masters,STEM,5,100-500,Pvt Ltd,1,49,1.0
46,6312,city_160,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Unknown,Unknown,1,270,1.0
47,113,city_16,0.91,Male,Has relevant experience,No enrollment,Masters,STEM,6,1000-4999,Pvt Ltd,1,23,1.0
48,14685,city_114,0.926,Male,No relevant experience,Full time course,Masters,STEM,3,10-49,Pvt Ltd,1,35,1.0
50,25906,city_28,0.939,Male,Has relevant experience,No enrollment,Graduate,STEM,19,50-99,Pvt Ltd,1,37,1.0
51,20142,city_104,0.924,Male,Has relevant experience,No enrollment,Graduate,STEM,10,50-99,Pvt Ltd,1,158,0.0
52,25891,city_103,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,21,10000+,Pvt Ltd,5,8,0.0
54,2222,city_105,0.794,Male,Has relevant experience,No enrollment,Graduate,Business Degree,14,100-500,Pvt Ltd,1,15,0.0
56,10493,city_21,0.624,Unknown,Has relevant experience,No enrollment,Masters,STEM,8,1000-4999,Pvt Ltd,2,40,0.0
57,10418,city_76,0.698,Male,Has relevant experience,No enrollment,Unknown,Unknown,7,100-500,Pvt Ltd,5,91,0.0
58,9766,city_83,0.923,Male,Has relevant experience,No enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,2,14,1.0
59,1361,city_103,0.92,Other,Has relevant experience,Full time course,Graduate,STEM,5,Unknown,Unknown,1,132,1.0
60,19625,city_97,0.925,Male,Has relevant experience,No enrollment,High School,Unknown,7,50-99,Pvt Ltd,1,31,0.0
61,20943,city_160,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,21,10000+,Pvt Ltd,5,8,0.0
63,4271,city_13,0.8270000000000001,Unknown,Has relevant experience,Unknown,Graduate,STEM,5,0-10,Pvt Ltd,2,74,0.0
64,2094,city_64,0.6659999999999999,Female,Has relevant experience,No enrollment,Graduate,STEM,18,100-500,Pvt Ltd,5,43,0.0
65,16931,city_31,0.807,Male,Has relevant experience,No enrollment,Graduate,STEM,15,Unknown,Unknown,5,134,1.0
66,27298,city_21,0.624,Male,No relevant experience,No enrollment,Graduate,Arts,5,0-10,Early Stage Startup,0,18,0.0
67,26493,city_136,0.897,Male,No relevant experience,Part time course,Graduate,STEM,8,Unknown,Public Sector,1,124,0.0
68,30745,city_19,0.682,Male,Has relevant experience,No enrollment,Graduate,STEM,8,Unknown,Unknown,3,80,0.0
69,21052,city_90,0.698,Male,Has relevant experience,No enrollment,Graduate,STEM,2,Unknown,Unknown,0,9,1.0
70,20723,city_11,0.55,Male,Has relevant experience,Full time course,Graduate,STEM,0,50-99,Pvt Ltd,1,188,0.0
71,13539,city_143,0.74,Male,Has relevant experience,No enrollment,Graduate,STEM,13,0-10,Pvt Ltd,2,182,1.0
72,3214,city_16,0.91,Male,Has relevant experience,No enrollment,Masters,STEM,21,1000-4999,Pvt Ltd,4,282,0.0
74,25300,city_160,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,7,0-10,Early Stage Startup,1,59,0.0
75,24018,city_11,0.55,Male,Has relevant experience,Part time course,Graduate,STEM,3,10-49,Pvt Ltd,1,116,0.0
76,21833,city_16,0.91,Male,Has relevant experience,No enrollment,Graduate,STEM,20,50-99,Pvt Ltd,5,34,0.0
77,30632,city_114,0.926,Male,Has relevant experience,No enrollment,Masters,STEM,12,50-99,Pvt Ltd,2,64,0.0
79,22271,city_100,0.887,Male,No relevant experience,Full time course,Graduate,Other,15,Unknown,Unknown,3,77,0.0
80,28776,city_114,0.926,Male,Has relevant experience,No enrollment,Masters,STEM,21,10000+,Pvt Ltd,5,56,0.0
81,27769,city_21,0.624,Male,No relevant experience,Full time course,Masters,STEM,2,Unknown,Unknown,1,73,0.0
82,25909,city_67,0.855,Unknown,Has relevant experience,No enrollment,Masters,STEM,15,100-500,Pvt Ltd,5,30,0.0
83,31266,city_114,0.926,Male,Has relevant experience,No enrollment,Graduate,STEM,9,500-999,Pvt Ltd,5,66,0.0
84,7973,city_114,0.926,Male,Has relevant experience,No enrollment,Masters,STEM,14,10000+,Pvt Ltd,1,10,0.0
85,30867,city_21,0.624,Unknown,Has relevant experience,No enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,100,0.0
86,22501,city_75,0.939,Male,Has relevant experience,No enrollment,Unknown,Unknown,19,10-49,Pvt Ltd,5,32,0.0
87,2539,city_13,0.8270000000000001,Male,Has relevant experience,Full time course,Masters,STEM,10,10000+,Pvt Ltd,4,29,0.0
88,26681,city_103,0.92,Male,Has relevant experience,No enrollment,Graduate,Business Degree,21,10000+,Pvt Ltd,3,8,0.0
90,3852,city_103,0.92,Male,Has relevant experience,No enrollment,Masters,STEM,21,1000-4999,Pvt Ltd,5,28,0.0
91,1680,city_19,0.682,Male,Has relevant experience,No enrollment,Masters,STEM,19,1000-4999,Unknown,4,99,0.0
92,3562,city_114,0.926,Male,Has relevant experience,No enrollment,Masters,STEM,21,1000-4999,Pvt Ltd,2,41,1.0
93,8488,city_101,0.5579999999999999,Male,Has relevant experience,Part time course,Masters,STEM,3,Unknown,Unknown,2,258,1.0
94,8373,city_103,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,17,1000-4999,Pvt Ltd,3,144,0.0
95,2934,city_75,0.939,Male,Has relevant experience,No enrollment,Phd,STEM,21,1000-4999,Pvt Ltd,3,328,0.0
96,12919,city_103,0.92,Female,Has relevant experience,No enrollment,Graduate,Humanities,4,Unknown,Unknown,1,47,0.0
97,4386,city_21,0.624,Male,No relevant experience,Full time course,High School,Unknown,3,0-10,Early Stage Startup,2,36,0.0
98,22462,city_21,0.624,Unknown,Has relevant experience,No enrollment,Graduate,STEM,9,10000+,NGO,1,30,1.0
99,13988,city_103,0.92,Unknown,Has relevant experience,Part time course,Masters,STEM,16,10000+,Pvt Ltd,5,36,1.0
101,26180,city_139,0.487,Male,No relevant experience,Full time course,Graduate,STEM,1,10-49,Pvt Ltd,0,64,0.0
102,16658,city_16,0.91,Male,Has relevant experience,No enrollment,Graduate,Business Degree,16,50-99,Pvt Ltd,1,55,0.0
103,10324,city_16,0.91,Male,Has relevant experience,Part time course,Graduate,STEM,21,10000+,Pvt Ltd,2,12,0.0
104,20453,city_27,0.848,Male,Has relevant experience,No enrollment,Graduate,STEM,3,50-99,Pvt Ltd,0,4,0.0
105,13485,city_136,0.897,Male,Has relevant experience,No enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,23,0.0
106,33080,city_16,0.91,Male,Has relevant experience,No enrollment,Graduate,STEM,21,50-99,Pvt Ltd,0,32,0.0
108,1319,city_71,0.884,Male,No relevant experience,Part time course,Graduate,STEM,0,Unknown,Unknown,5,18,0.0
109,19146,city_103,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,18,50-99,Unknown,1,43,0.0
110,29339,city_67,0.855,Male,Has relevant experience,No enrollment,Masters,STEM,15,50-99,Pvt Ltd,0,5,0.0
111,33177,city_16,0.91,Male,Has relevant experience,No enrollment,Graduate,STEM,11,50-99,Pvt Ltd,1,8,0.0
112,22143,city_103,0.92,Unknown,Has relevant experience,No enrollment,Graduate,STEM,21,5000-9999,Pvt Ltd,1,34,1.0
114,17034,city_103,0.92,Unknown,Has relevant experience,Full time course,Graduate,STEM,5,10000+,Other,0,48,0.0
115,27002,city_21,0.624,Male,Has relevant experience,Full time course,Graduate,STEM,7,50-99,Pvt Ltd,5,58,0.0
116,21318,city_103,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,1,7,1.0
117,12308,city_143,0.74,Unknown,No relevant experience,No enrollment,Graduate,STEM,10,1000-4999,Public Sector,5,84,0.0
118,842,city_21,0.624,Male,No relevant experience,Full time course,Graduate,STEM,7,Unknown,Unknown,1,12,0.0
121,19567,city_21,0.624,Male,Has relevant experience,No enrollment,Graduate,STEM,12,1000-4999,Pvt Ltd,1,42,1.0
122,12809,city_61,0.913,Male,Has relevant experience,No enrollment,High School,Unknown,3,100-500,Pvt Ltd,1,48,0.0
123,22682,city_71,0.884,Male,No relevant experience,No enrollment,Masters,STEM,2,1000-4999,Pvt Ltd,1,196,0.0
124,1216,city_173,0.878,Male,Has relevant experience,No enrollment,Masters,STEM,21,1000-4999,Pvt Ltd,2,80,0.0
126,24162,city_21,0.624,Unknown,Has relevant experience,No enrollment,Graduate,STEM,0,0-10,Pvt Ltd,1,48,0.0
127,16873,city_103,0.92,Unknown,Has relevant experience,No enrollment,Graduate,STEM,21,5000-9999,Pvt Ltd,5,95,0.0
128,21920,city_16,0.91,Female,No relevant experience,No enrollment,Phd,STEM,19,1000-4999,NGO,1,64,0.0
131,24396,city_70,0.698,Male,Has relevant experience,No enrollment,Graduate,STEM,18,100-500,Pvt Ltd,2,54,0.0
132,770,city_73,0.754,Male,Has relevant experience,No enrollment,Masters,STEM,21,50-99,Pvt Ltd,1,12,0.0
133,30913,city_103,0.92,Male,No relevant experience,No enrollment,Graduate,STEM,21,0-10,Pvt Ltd,5,19,0.0
134,14566,city_69,0.856,Female,Has relevant experience,Part time course,Graduate,STEM,7,500-999,Pvt Ltd,1,145,0.0
135,15634,city_61,0.913,Male,Has relevant experience,No enrollment,Graduate,No Major,11,100-500,Pvt Ltd,5,50,0.0
138,18805,city_16,0.91,Male,No relevant experience,No enrollment,Phd,Humanities,21,Unknown,Unknown,5,27,0.0
139,15367,city_103,0.92,Male,No relevant experience,Full time course,Graduate,STEM,0,Unknown,Unknown,1,24,0.0
140,22556,city_21,0.624,Male,Has relevant experience,Full time course,Graduate,STEM,5,10-49,Funded Startup,1,120,1.0
141,27439,city_100,0.887,Male,Has relevant experience,Part time course,Graduate,STEM,15,Unknown,Unknown,1,61,0.0
142,18426,city_21,0.624,Male,Has relevant experience,No enrollment,Graduate,STEM,10,Unknown,Unknown,1,23,0.0
143,9789,city_160,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,21,10000+,Pvt Ltd,5,4,0.0
144,28172,city_114,0.926,Unknown,Has relevant experience,No enrollment,Masters,STEM,21,100-500,Pvt Ltd,5,139,0.0
145,9184,city_136,0.897,Male,Has relevant experience,Part time course,Masters,STEM,3,10000+,Pvt Ltd,1,34,0.0
146,3587,city_16,0.91,Male,Has relevant experience,No enrollment,Masters,Humanities,7,Unknown,Pvt Ltd,4,21,0.0
147,1167,city_103,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,15,100-500,Pvt Ltd,4,10,1.0
150,31594,city_41,0.8270000000000001,Male,Has relevant experience,No enrollment,Masters,STEM,21,50-99,Funded Startup,5,154,0.0
151,27117,city_90,0.698,Male,No relevant experience,Full time course,Graduate,STEM,0,Unknown,Unknown,0,8,1.0
152,678,city_160,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,21,10000+,Pvt Ltd,1,84,0.0
153,1441,city_103,0.92,Male,No relevant experience,Full time course,Masters,STEM,16,Unknown,Unknown,0,96,0.0
154,31272,city_21,0.624,Male,Has relevant experience,No enrollment,Graduate,STEM,13,5000-9999,Pvt Ltd,4,56,0.0
155,12443,city_149,0.6890000000000001,Male,Has relevant experience,No enrollment,High School,Unknown,6,100-500,Pvt Ltd,1,270,1.0
156,32981,city_165,0.903,Male,Has relevant experience,No enrollment,Phd,STEM,21,Unknown,Unknown,1,76,0.0
157,1317,city_103,0.92,Unknown,Has relevant experience,No enrollment,Masters,STEM,12,100-500,Funded Startup,1,48,1.0
158,4601,city_28,0.939,Male,No relevant experience,No enrollment,Phd,STEM,21,5000-9999,Pvt Ltd,2,9,0.0
159,30498,city_83,0.923,Unknown,No relevant experience,No enrollment,Graduate,STEM,3,10-49,Public Sector,0,27,0.0
162,14698,city_160,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,6,5000-9999,Pvt Ltd,1,66,0.0
163,10021,city_16,0.91,Female,Has relevant experience,No enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1,22,0.0
164,15253,city_16,0.91,Male,Has relevant experience,No enrollment,Phd,STEM,21,50-99,Funded Startup,3,156,1.0
165,18108,city_114,0.926,Male,Has relevant experience,No enrollment,High School,Unknown,5,10000+,Pvt Ltd,5,95,0.0
166,31410,city_160,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,21,100-500,Pvt Ltd,5,35,0.0
167,30532,city_103,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,16,500-999,Pvt Ltd,1,102,0.0
168,31733,city_103,0.92,Male,Has relevant experience,No enrollment,Masters,STEM,21,50-99,Unknown,5,51,0.0
169,28833,city_21,0.624,Male,Has relevant experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,1,88,1.0
170,8708,city_74,0.579,Male,Has relevant experience,Part time course,Masters,STEM,3,50-99,Pvt Ltd,1,13,0.0
171,10050,city_103,0.92,Male,Has relevant experience,No enrollment,Masters,STEM,10,10000+,Pvt Ltd,5,20,0.0
172,21685,city_114,0.926,Unknown,No relevant experience,No enrollment,Phd,STEM,15,10000+,Pvt Ltd,1,91,0.0
173,18529,city_143,0.74,Male,Has relevant experience,Full time course,Graduate,STEM,6,10-49,Pvt Ltd,4,34,0.0
174,1850,city_103,0.92,Unknown,No relevant experience,No enrollment,Graduate,STEM,1,100-500,Public Sector,1,20,0.0
175,22639,city_176,0.764,Male,Has relevant experience,No enrollment,Graduate,STEM,4,10-49,Pvt Ltd,1,77,0.0
176,5967,city_21,0.624,Male,Has relevant experience,No enrollment,Masters,STEM,9,10-49,Pvt Ltd,5,101,0.0
177,20977,city_16,0.91,Male,Has relevant experience,No enrollment,High School,Unknown,21,100-500,Pvt Ltd,1,178,0.0
179,4398,city_155,0.556,Male,Has relevant experience,No enrollment,Graduate,STEM,7,50-99,Unknown,3,200,0.0
180,18383,city_21,0.624,Male,No relevant experience,No enrollment,Masters,STEM,4,100-500,Pvt Ltd,1,15,1.0
182,7470,city_167,0.921,Male,Has relevant experience,Full time course,Graduate,STEM,7,100-500,Pvt Ltd,1,8,0.0
183,24781,city_103,0.92,Male,Has relevant experience,No enrollment,Masters,STEM,21,50-99,Pvt Ltd,2,76,0.0
184,24202,city_90,0.698,Male,Has relevant experience,No enrollment,Graduate,STEM,7,Unknown,Unknown,1,9,0.0
185,20650,city_73,0.754,Unknown,Has relevant experience,Part time course,Graduate,STEM,6,10-49,Pvt Ltd,3,68,0.0
186,5377,city_114,0.926,Male,No relevant experience,No enrollment,High School,Unknown,5,Unknown,Pvt Ltd,0,70,1.0
187,31693,city_103,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,21,1000-4999,Pvt Ltd,5,51,0.0
188,28619,city_103,0.92,Male,No relevant experience,No enrollment,Graduate,No Major,3,Unknown,Unknown,0,4,1.0
189,15432,city_114,0.926,Unknown,No relevant experience,No enrollment,High School,Unknown,11,100-500,Pvt Ltd,5,16,0.0
190,22999,city_21,0.624,Female,Has relevant experience,No enrollment,Graduate,STEM,0,100-500,Pvt Ltd,1,9,0.0
191,8377,city_16,0.91,Male,Has relevant experience,No enrollment,Graduate,STEM,13,100-500,Pvt Ltd,2,24,0.0
193,16158,city_160,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,7,50-99,Funded Startup,3,72,0.0
194,29575,city_11,0.55,Male,Has relevant experience,No enrollment,Graduate,STEM,7,Unknown,Unknown,3,88,0.0
195,16573,city_28,0.939,Male,Has relevant experience,Unknown,Graduate,No Major,8,10-49,Pvt Ltd,2,138,0.0
197,20612,city_21,0.624,Unknown,Has relevant experience,No enrollment,Graduate,STEM,1,100-500,Pvt Ltd,0,128,0.0
198,11976,city_136,0.897,Male,Has relevant experience,No enrollment,Masters,STEM,14,Unknown,Unknown,1,59,0.0
199,28302,city_16,0.91,Male,Has relevant experience,No enrollment,Graduate,STEM,5,0-10,Pvt Ltd,1,138,0.0
201,14512,city_11,0.55,Male,Has relevant experience,Full time course,Graduate,STEM,4,50-99,Unknown,1,125,0.0
202,8401,city_136,0.897,Male,Has relevant experience,No enrollment,Masters,STEM,6,50-99,Public Sector,2,7,0.0
205,1466,city_103,0.92,Male,Has relevant experience,No enrollment,Masters,STEM,21,10000+,Pvt Ltd,5,52,1.0
206,17205,city_114,0.926,Female,Has relevant experience,No enrollment,Masters,STEM,21,Unknown,Unknown,0,24,0.0
207,12990,city_160,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,16,100-500,Pvt Ltd,5,67,1.0
208,4234,city_103,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,19,10000+,Pvt Ltd,1,118,0.0
209,18171,city_103,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,12,Unknown,Unknown,2,29,0.0
210,15457,city_114,0.926,Male,Has relevant experience,No enrollment,Graduate,STEM,17,50-99,Pvt Ltd,5,18,1.0
211,23319,city_21,0.624,Male,Has relevant experience,Full time course,Graduate,STEM,4,Unknown,Unknown,0,9,0.0
212,10598,city_136,0.897,Male,Has relevant experience,No enrollment,Phd,STEM,14,0-10,Early Stage Startup,1,7,0.0
214,32021,city_103,0.92,Male,Has relevant experience,No enrollment,Masters,Humanities,21,100-500,Pvt Ltd,2,65,0.0
217,30196,city_114,0.926,Male,Has relevant experience,No enrollment,Graduate,Humanities,2,0-10,Early Stage Startup,1,56,0.0
218,19504,city_21,0.624,Unknown,Has relevant experience,No enrollment,Graduate,STEM,4,10-49,Pvt Ltd,1,18,0.0
219,16336,city_21,0.624,Male,Has relevant experience,No enrollment,Graduate,STEM,7,10000+,Pvt Ltd,5,272,0.0
220,6048,city_103,0.92,Unknown,Has relevant experience,No enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,2,29,0.0
221,6827,city_21,0.624,Male,Has relevant experience,No enrollment,Graduate,STEM,2,100-500,Pvt Ltd,0,100,0.0
222,9268,city_160,0.92,Male,Has relevant experience,No enrollment,Unknown,Unknown,21,0-10,Pvt Ltd,2,26,0.0
223,11169,city_21,0.624,Female,Has relevant experience,No enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1,13,0.0
224,31131,city_103,0.92,Female,No relevant experience,Part time course,Graduate,Other,3,5000-9999,Other,1,56,0.0
227,27773,city_114,0.926,Male,Has relevant experience,No enrollment,Masters,STEM,21,50-99,Pvt Ltd,5,200,0.0
228,15266,city_103,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,7,5000-9999,Pvt Ltd,1,28,0.0
229,26289,city_89,0.925,Female,Has relevant experience,No enrollment,Graduate,Humanities,3,0-10,Pvt Ltd,2,12,0.0
230,32553,city_57,0.866,Unknown,No relevant experience,No enrollment,Masters,STEM,12,Unknown,Pvt Ltd,0,26,0.0
231,33062,city_98,0.949,Male,Has relevant experience,No enrollment,Graduate,STEM,9,0-10,Early Stage Startup,1,174,0.0
232,8818,city_103,0.92,Unknown,Has relevant experience,No enrollment,Primary School,Unknown,7,100-500,Pvt Ltd,1,39,1.0
233,15380,city_21,0.624,Male,Has relevant experience,No enrollment,Graduate,STEM,5,500-999,Pvt Ltd,4,71,0.0
234,30120,city_11,0.55,Male,Has relevant experience,No enrollment,Graduate,STEM,4,100-500,Pvt Ltd,0,114,0.0
235,24317,city_21,0.624,Male,Has relevant experience,No enrollment,Graduate,STEM,9,Unknown,Unknown,2,12,0.0
236,412,city_103,0.92,Male,No relevant experience,No enrollment,Graduate,STEM,17,0-10,Pvt Ltd,2,56,0.0
237,30607,city_149,0.6890000000000001,Male,Has relevant experience,Full time course,Graduate,STEM,4,1000-4999,Pvt Ltd,2,46,0.0
238,8513,city_16,0.91,Male,Has relevant experience,Full time course,Masters,STEM,7,Unknown,Unknown,1,24,0.0
239,8596,city_41,0.8270000000000001,Unknown,Has relevant experience,Full time course,High School,Unknown,4,100-500,Pvt Ltd,2,152,1.0
240,14539,city_69,0.856,Male,Has relevant experience,No enrollment,Graduate,STEM,7,0-10,Funded Startup,1,20,0.0
241,20456,city_21,0.624,Unknown,Has relevant experience,Full time course,Graduate,STEM,6,10000+,Pvt Ltd,0,202,0.0
243,28968,city_150,0.698,Male,Has relevant experience,Part time course,High School,Unknown,2,50-99,NGO,2,78,0.0
244,21648,city_61,0.913,Male,Has relevant experience,No enrollment,Masters,STEM,20,1000-4999,Pvt Ltd,0,60,0.0
245,3210,city_103,0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,17,10-49,Pvt Ltd,3,20,0.0
247,5605,city_76,0.698,Other,Has relevant experience,No enrollment,Graduate,STEM,9,10000+,Public Sector,3,194,0.0
248,30930,city_67,0.855,Male,Has relevant experience,No enrollment,Graduate,STEM,21,0-10,Pvt Ltd,0,248,0.0
249,28718,city_104,0.924,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Unknown,Unknown,1,68,0.0
251,3486,city_165,0.903,Male,Has relevant experience,No enrollment,Phd,STEM,14,100-500,Pvt Ltd,5,61,0.0
252,8805,city_103,0.92,Male,Has relevant experience,No enrollment,Masters,STEM,21,50-99,Funded Startup,2,66,1.0
253,6602,city_162,0.767,Unknown,Has relevant experience,Full time course,Graduate,STEM,6,10-49,Pvt Ltd,1,119,1.0
254,14916,city_64,0.6659999999999999,Male,Has relevant experience,No enrollment,Graduate,STEM,15,10-49,Funded Startup,1,78,0.0
255,21636,city_36,0.893,Unknown,No relevant experience,No enrollment,Graduate,STEM,21,10000+,Pvt Ltd,5,47,0.0
256,9047,city_103,0.92,Other,Has relevant experience,No enrollment,Graduate,STEM,21,Unknown,Unknown,5,174,0.0
257,6694,city_16,0.91,Female,Has relevant experience,No enrollment,Graduate,STEM,19,10-49,Pvt Ltd,5,85,0.0
258,17793,city_74,0.579,Unknown,Has relevant experience,No enrollment,Graduate,STEM,6,50-99,Pvt Ltd,5,86,1.0
259,32857,city_16,0.91,Male,Has relevant experience,No enrollment,High School,Unknown,7,10000+,Pvt Ltd,1,20,1.0
261,20907,city_103,0.92,Male,Has relevant experience,No enrollment,Masters,STEM,5,Unknown,Unknown,2,212,0.0
262,12617,city_90,0.698,Unknown,Has relevant experience,No enrollment,High School,Unknown,11,0-10,Pvt Ltd,2,77,0.0
263,24295,city_105,0.794,Male,Has relevant experience,No enrollment,Masters,STEM,10,100-500,Pvt Ltd,2,85,0.0
264,32409,city_21,0.624,Male,Has relevant experience,No enrollment,Graduate,STEM,8,500-999,NGO,1,57,0.0
265,16713,city_103,0.92,Male,Has relevant experience,No enrollment,Graduate,Arts,13,50-99,Pvt Ltd,5,51,0.0
266,4863,city_107,0.518,Male,No relevant experience,Full time course,High School,Unknown,2,Unknown,Pvt Ltd,0,28,0.0
268,12462,city_21,0.624,Male,Has relevant experience,Unknown,Graduate,STEM,0,50-99,Pvt Ltd,1,5,0.0
